,Meta_analysis_significant,,,,,,O_within_CI_R,,,,,,pvalue_label,,,,,
classifier,f1,std,precision,std,recall,std,f1,std,precision,std,recall,std,f1,std,precision,std,recall,std
MLPClassifier,0.20,0.34,0.16,0.28,0.25,0.43,0.33,0.33,0.24,0.25,0.50,0.50,0.38,0.23,0.25,0.16,0.75,0.43
DummyClassifier,0.73,0.05,0.69,0.06,0.79,0.11,0.49,0.10,0.47,0.06,0.54,0.19,0.43,0.13,0.45,0.21,0.47,0.18
KNeighborsClassifier,0.82,0.02,0.74,0.04,0.92,0.08,0.49,0.05,0.53,0.10,0.49,0.09,0.50,0.09,0.52,0.10,0.50,0.15
RandomForestClassifier,0.83,0.03,0.81,0.07,0.86,0.06,0.47,0.05,0.46,0.04,0.52,0.17,0.50,0.07,0.50,0.19,0.59,0.13
SVC,0.81,0.05,0.70,0.07,0.98,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GaussianNB,0.29,0.33,0.59,0.38,0.26,0.34,0.14,0.25,0.12,0.22,0.17,0.29,0.42,0.25,0.31,0.19,0.68,0.40
