,Meta_analysis_significant,,,,,,O_within_CI_R,,,,,,pvalue_label,,,,,
classifier,f1,std,precision,std,recall,std,f1,std,precision,std,recall,std,f1,std,precision,std,recall,std
MLPClassifier,0.40,0.40,0.34,0.34,0.50,0.50,0.31,0.31,0.23,0.23,0.50,0.50,0.16,0.28,0.12,0.20,0.25,0.43
DummyClassifier,0.70,0.15,0.72,0.11,0.69,0.19,0.53,0.10,0.48,0.10,0.60,0.14,0.31,0.20,0.31,0.18,0.34,0.27
KNeighborsClassifier,0.77,0.09,0.73,0.09,0.83,0.11,0.38,0.12,0.47,0.16,0.37,0.17,0.44,0.04,0.56,0.16,0.44,0.18
RandomForestClassifier,0.82,0.04,0.80,0.07,0.85,0.03,0.47,0.11,0.51,0.13,0.50,0.17,0.43,0.17,0.47,0.23,0.42,0.12
SVC,0.81,0.04,0.70,0.04,0.98,0.04,0.22,0.26,0.36,0.41,0.29,0.42,0.00,0.00,0.00,0.00,0.00,0.00
GaussianNB,0.41,0.34,0.46,0.28,0.43,0.39,0.16,0.18,0.20,0.21,0.24,0.33,0.53,0.14,0.39,0.12,0.90,0.11
